"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.44729247970068392e-01, 0.00000000000000000e+00,-1.02498042272438111e-01,-1.81843049390019496e-11,-2.95082856732262977e-01,-1.38313840708716396e+00, 1.29059403714021803e+00, 2.72043544018601025e-03, 2.22262456630528373e-04,-7.54274818854510087e-01,-2.08619484865288154e-02, 7.74503355174594788e-01,-1.46485252060823048e-02, 4.96535832917080144e-01, 1.79496939021069925e-03,-7.84471251990441658e+01
 1.44725670425864150e-01, 5.00000000029103830e-02,-1.02498099139232954e-01,-1.81696870043224652e-11,-2.95089473973867145e-01,-1.38315797221804204e+00, 1.29066303597247067e+00, 2.71964094849723795e-03, 2.22251901355477883e-04,-7.54297567634848676e-01,-2.08619170119624178e-02, 7.74505895819075141e-01,-1.46473091383807208e-02, 4.96513183242793421e-01, 1.79510431307759082e-03,-7.84469185489626284e+01
 1.44722093686646042e-01, 1.00000000005820766e-01,-1.02498155985415645e-01,-1.81550797575909332e-11,-2.95096090607555372e-01,-1.38317753648670561e+00, 1.29073202526312625e+00, 2.71884665281047497e-03, 2.22241361278669526e-04,-7.54320313601637538e-01,-2.08618855409668097e-02, 7.74508436171931103e-01,-1.46460933227017739e-02, 4.96490539051553659e-01, 1.79523922340329165e-03,-7.84467119223255906e+01
 1.44718517752162934e-01, 1.50000000008731149e-01,-1.02498212810991474e-01,-1.81404831831317348e-11,-2.95102706633501966e-01,-1.38319709989304984e+00, 1.29080100501515882e+00, 2.71805255306311862e-03, 2.22230836381568677e-04,-7.54343056756014763e-01,-2.08618540735409155e-02, 7.74510976233251047e-01,-1.46448777589659046e-02, 4.96467900341520496e-01, 1.79537412119154310e-03,-7.84465053191259187e+01
 1.44714942622163723e-01, 2.00000000011641532e-01,-1.02498269615965656e-01,-1.81258972652693581e-11,-2.95109322051881284e-01,-1.38321666243696817e+00, 1.29086997523153335e+00, 2.71725864919247643e-03, 2.22220326645628836e-04,-7.54365797099118662e-01,-2.08618226096836529e-02, 7.74513516003123681e-01,-1.46436624470935809e-02, 4.96445267110854571e-01, 1.79550900644607396e-03,-7.84462987393565072e+01
 1.44711368296398413e-01, 2.50000000000000000e-01,-1.02498326400343509e-01,-1.81113219883326917e-11,-2.95115936862865802e-01,-1.38323622411835134e+00, 1.29093893591518527e+00, 2.71646494113600596e-03, 2.22209832052294726e-04,-7.54388534632081220e-01,-2.08617911493939427e-02, 7.74516055481635823e-01,-1.46424473870056943e-02, 4.96422639357723017e-01, 1.79564387917055795e-03,-7.84460921830103359e+01
 1.44707794774613818e-01, 3.00000000002910383e-01,-1.02498383164130305e-01,-1.80967573366380263e-11,-2.95122551066633876e-01,-1.38325578493710477e+00, 1.29100788706912084e+00, 2.71567142883043407e-03, 2.22199352582994151e-04,-7.54411269356053849e-01,-2.08617596926706922e-02, 7.74518594668877958e-01,-1.46412325786220120e-02, 4.96400017080273426e-01, 1.79577873936880754e-03,-7.84458856500801716e+01
 1.44704222056559861e-01, 3.50000000005820766e-01,-1.02498439907331332e-01,-1.80822032945145026e-11,-2.95129164663357757e-01,-1.38327534489311654e+00, 1.29107682869628948e+00, 2.71487811221312811e-03, 2.22188888219154674e-04,-7.54434001272168087e-01,-2.08617282395128223e-02, 7.74521133564938014e-01,-1.46400180218633335e-02, 4.96377400276673264e-01, 1.79591358704452118e-03,-7.84456791405589513e+01
 1.44700650141985493e-01, 4.00000000008731149e-01,-1.02498496629951849e-01,-1.80676598462871579e-11,-2.95135777653212028e-01,-1.38329490398628230e+00, 1.29114576079964549e+00, 2.71408499122112110e-03, 2.22178438942187650e-04,-7.54456730381562357e-01,-2.08616967899192575e-02, 7.74523672169903921e-01,-1.46388037166502328e-02, 4.96354788945083392e-01, 1.79604842220141224e-03,-7.84454726544395982e+01
 1.44697079030639608e-01, 4.50000000011641532e-01,-1.02498553331997144e-01,-1.80531269762811555e-11,-2.95142390036370883e-01,-1.38331446221649479e+00, 1.29121468338216094e+00, 2.71329206579143216e-03, 2.22168004733498388e-04,-7.54479456685374639e-01,-2.08616653438889084e-02, 7.74526210483864386e-01,-1.46375896629031520e-02, 4.96332183083665057e-01, 1.79618324484322710e-03,-7.84452661917149783e+01
