"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.83884914496390273e-01, 0.00000000000000000e+00,-9.96555484913279888e-02,-6.29115235530200652e-09,-6.95321006733629621e-01,-1.71700963179689658e+00, 1.99312995329655163e+00, 9.40620439468422068e-03, 6.43057987619917101e-03,-1.06032000292500483e+00,-2.04875352302597014e-02, 8.04467312214727892e-01,-2.19965127224226072e-02, 7.65209803500378261e-01, 1.95002190811943764e-03,-7.59888695729183041e+01
 1.83872608810044608e-01, 5.00000000029103830e-02,-9.96551117244312695e-02,-6.28854802035042559e-09,-6.95431566459372430e-01,-1.71688938064717123e+00, 1.99353849276201012e+00, 9.40500654893250930e-03, 6.42785480747133913e-03,-1.06068983307067266e+00,-2.04872749146521212e-02, 8.04487951836775017e-01,-2.19909760481378433e-02, 7.65119590450591192e-01, 1.95079942048401590e-03,-7.59871604392373143e+01
 1.83860307946632329e-01, 1.00000000005820766e-01,-9.96546743949600772e-02,-6.28594618093852050e-09,-6.95542185606372598e-01,-1.71676906424643816e+00, 1.99394711975608718e+00, 9.40380936910774172e-03, 6.42513125569618530e-03,-1.06105984786488383e+00,-2.04870144748156117e-02, 8.04508601022096759e-01,-2.19854396796770706e-02, 7.65029415916447353e-01, 1.95157743089361020e-03,-7.59854504899162180e+01
 1.83848011904709702e-01, 1.50000000008731149e-01,-9.96542365024147975e-02,-6.28334683586127191e-09,-6.95652864255292935e-01,-1.71664868251653502e+00, 1.99435583437543817e+00, 9.40261285586475523e-03, 6.42240922048080073e-03,-1.06143004751113579e+00,-2.04867539105958556e-02, 8.04529259782481243e-01,-2.19799036152806826e-02, 7.64939279884088053e-01, 1.95235593999714004e-03,-7.59837397239418237e+01
 1.83835720682832993e-01, 2.00000000011641532e-01,-9.96537980462958994e-02,-6.28074998391371011e-09,-6.95763602486788035e-01,-1.71652823537929877e+00, 1.99476463671641513e+00, 9.40141700985603311e-03, 6.41968870142871351e-03,-1.06180043221288090e+00,-2.04864932218385316e-02, 8.04549928129717040e-01,-2.19743678531889967e-02, 7.64849182339656819e-01, 1.95313494844390591e-03,-7.59820281403009403e+01
 1.83823434279562020e-01, 2.50000000000000000e-01,-9.96533590261039631e-02,-6.27815562389167270e-09,-6.95874400381469971e-01,-1.71640772275659814e+00, 1.99517352687495686e+00, 9.40022183173207584e-03, 6.41696969814071864e-03,-1.06217100217342120e+00,-2.04862324083893953e-02, 8.04570606075584283e-01,-2.19688323916440893e-02, 7.64759123269324936e-01, 1.95391445688336768e-03,-7.59803157379808454e+01
 1.83811152693445862e-01, 3.00000000002910383e-01,-9.96529194413392078e-02,-6.27556375458877881e-09,-6.95985258020039188e-01,-1.71628714457019660e+00, 1.99558250494704859e+00, 9.39902732213992315e-03, 6.41425221021164546e-03,-1.06254175759633807e+00,-2.04859714700939728e-02, 8.04591293631881088e-01,-2.19632972288832454e-02, 7.64669102659187083e-01, 1.95469446596603647e-03,-7.59786025159673528e+01
 1.83798875923044364e-01, 3.50000000005820766e-01,-9.96524792915022550e-02,-6.27297437480096861e-09,-6.96096175483090329e-01,-1.71616650074196420e+00, 1.99599157102801228e+00, 9.39783348172528073e-03, 6.41153623723512891e-03,-1.06291269868484717e+00,-2.04857104067980335e-02, 8.04611990810385813e-01,-2.19577623631487216e-02, 7.64579120495417985e-01, 1.95547497634211828e-03,-7.59768884732477829e+01
 1.83786603966913764e-01, 4.00000000008731149e-01,-9.96520385760936156e-02,-6.27038748332347091e-09,-6.96207152851240685e-01,-1.71604579119372991e+00, 1.99640072521299716e+00, 9.39664031113120538e-03, 6.40882177880050703e-03,-1.06328382564222745e+00,-2.04854492183472528e-02, 8.04632697622882809e-01,-2.19522277926811164e-02, 7.64489176764169054e-01, 1.95625598866243887e-03,-7.59751736088089160e+01
 1.83774336823610357e-01, 4.50000000011641532e-01,-9.96515972946138140e-02,-6.26780307895156747e-09,-6.96318190205098220e-01,-1.71592501584732249e+00, 1.99680996759684004e+00, 9.39544781099835996e-03, 6.40610883449353220e-03,-1.06365513867171502e+00,-2.04851879045873063e-02, 8.04653414081154650e-01,-2.19466935157212051e-02, 7.64399271451593254e-01, 1.95703750357819608e-03,-7.59734579216375607e+01
