parameter,reported value,mean,variance,median,interquartile range
g_CaT,0.412,0.453,0.000597,0.446,0.0146
E_CaT,45.0,32.7,1.87,33.0,0.574
k_dss1,30.0,33.9,1.94,33.1,1.94
k_dss2,6.0,8.11,0.827,7.69,1.04
k_dtau1,1.07,6.15,6.55,7.16,5.26
k_dtau2,26.3,66.2,71.9,66.8,2.01
k_dtau3,30.0,40.1,86.6,42.2,14.0
k_dtau4,1.07,2.86,4.73,2.84,4.26
k_dtau5,26.3,86.9,141.0,92.1,12.8
k_dtau6,30.0,80.9,22.4,79.4,3.59
k_fss1,48.0,47.2,2.43,46.4,1.85
k_fss2,7.0,6.45,1.13,6.71,1.55
k_ftau1,1.53,2.91,4.14,3.08,3.74
k_ftau2,61.7,93.4,37.7,93.2,12.0
k_ftau3,83.3,7.71,31.9,5.58,7.85
k_ftau4,1.5,0.931,0.112,1.13,0.438
k_ftau5,61.7,63.0,139.0,60.3,20.4
k_ftau6,30.0,55.6,136.0,49.5,16.7
original loss
0.704
minimum posterior loss,maximum posterior loss
0.432,0.559
